Flows,In_out_bytes,In_out_pckts,Protocol_flags,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,file,model,ds,step
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-0500.csv,04-wganbin,NF-CSE-CIC-IDS2018,500
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-1000.csv,04-wganbin,NF-CSE-CIC-IDS2018,1000
1064,0,930,143,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-10000.csv,04-wganbin,NF-CSE-CIC-IDS2018,10000
384,0,6,378,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-1500.csv,04-wganbin,NF-CSE-CIC-IDS2018,1500
6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-2000.csv,04-wganbin,NF-CSE-CIC-IDS2018,2000
713,0,390,323,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-2500.csv,04-wganbin,NF-CSE-CIC-IDS2018,2500
166,0,96,70,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-3000.csv,04-wganbin,NF-CSE-CIC-IDS2018,3000
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-3500.csv,04-wganbin,NF-CSE-CIC-IDS2018,3500
19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-4000.csv,04-wganbin,NF-CSE-CIC-IDS2018,4000
1266,0,638,659,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-4500.csv,04-wganbin,NF-CSE-CIC-IDS2018,4500
134,0,7,127,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-5000.csv,04-wganbin,NF-CSE-CIC-IDS2018,5000
430,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-5500.csv,04-wganbin,NF-CSE-CIC-IDS2018,5500
1316,0,933,385,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-6000.csv,04-wganbin,NF-CSE-CIC-IDS2018,6000
576,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-6500.csv,04-wganbin,NF-CSE-CIC-IDS2018,6500
566,1,354,211,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-7000.csv,04-wganbin,NF-CSE-CIC-IDS2018,7000
2121,0,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-7500.csv,04-wganbin,NF-CSE-CIC-IDS2018,7500
3115,0,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-8000.csv,04-wganbin,NF-CSE-CIC-IDS2018,8000
237,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-8500.csv,04-wganbin,NF-CSE-CIC-IDS2018,8500
720,0,51,669,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-9000.csv,04-wganbin,NF-CSE-CIC-IDS2018,9000
179,0,16,165,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-CSE-CIC-IDS2018_step-9500.csv,04-wganbin,NF-CSE-CIC-IDS2018,9500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-0500.csv,04-wganbin,NF-ToN-IoT,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-1000.csv,04-wganbin,NF-ToN-IoT,1000
1202,0,812,390,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-10000.csv,04-wganbin,NF-ToN-IoT,10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-1500.csv,04-wganbin,NF-ToN-IoT,1500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-2000.csv,04-wganbin,NF-ToN-IoT,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-2500.csv,04-wganbin,NF-ToN-IoT,2500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-3000.csv,04-wganbin,NF-ToN-IoT,3000
12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-3500.csv,04-wganbin,NF-ToN-IoT,3500
533,0,83,450,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-4000.csv,04-wganbin,NF-ToN-IoT,4000
1424,0,98,1366,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-4500.csv,04-wganbin,NF-ToN-IoT,4500
460,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-5000.csv,04-wganbin,NF-ToN-IoT,5000
327,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-5500.csv,04-wganbin,NF-ToN-IoT,5500
204,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-6000.csv,04-wganbin,NF-ToN-IoT,6000
1038,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-6500.csv,04-wganbin,NF-ToN-IoT,6500
274,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-7000.csv,04-wganbin,NF-ToN-IoT,7000
652,0,63,589,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-7500.csv,04-wganbin,NF-ToN-IoT,7500
197,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-8000.csv,04-wganbin,NF-ToN-IoT,8000
762,0,11,751,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-8500.csv,04-wganbin,NF-ToN-IoT,8500
351,0,31,320,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-9000.csv,04-wganbin,NF-ToN-IoT,9000
236,0,5,231,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-ToN-IoT_step-9500.csv,04-wganbin,NF-ToN-IoT,9500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-0500.csv,04-wganbin,NF-UNSW-NB15,500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-1000.csv,04-wganbin,NF-UNSW-NB15,1000
411,0,100,314,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-10000.csv,04-wganbin,NF-UNSW-NB15,10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-1500.csv,04-wganbin,NF-UNSW-NB15,1500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-2000.csv,04-wganbin,NF-UNSW-NB15,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-2500.csv,04-wganbin,NF-UNSW-NB15,2500
225,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-3000.csv,04-wganbin,NF-UNSW-NB15,3000
118,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-3500.csv,04-wganbin,NF-UNSW-NB15,3500
879,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-4000.csv,04-wganbin,NF-UNSW-NB15,4000
248,0,243,5,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-4500.csv,04-wganbin,NF-UNSW-NB15,4500
102,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-5000.csv,04-wganbin,NF-UNSW-NB15,5000
530,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-5500.csv,04-wganbin,NF-UNSW-NB15,5500
136,0,101,35,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-6000.csv,04-wganbin,NF-UNSW-NB15,6000
26,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-6500.csv,04-wganbin,NF-UNSW-NB15,6500
47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-7000.csv,04-wganbin,NF-UNSW-NB15,7000
53,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-7500.csv,04-wganbin,NF-UNSW-NB15,7500
58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-8000.csv,04-wganbin,NF-UNSW-NB15,8000
25,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-8500.csv,04-wganbin,NF-UNSW-NB15,8500
47,0,36,11,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-9000.csv,04-wganbin,NF-UNSW-NB15,9000
256,0,78,179,0,0,0,0,0,0,0,0,0,0,0,0,../../Datasets/Queensland_NetFlow/synthetic/wganbin_data_clean/NF-UNSW-NB15_step-9500.csv,04-wganbin,NF-UNSW-NB15,9500
